name,lat,temp,humidity,cloudiness,wind_speed
Turukhansk,65.8,241.62,99,67,0.94
Bluff,-23.58,301.35,43,0,8.11
Atar,20.52,291.03,17,0,2.04
Hermanus,-34.42,287.59,86,26,1.34
Atuona,-9.8,300.92,70,9,7.22
Ancud,-41.87,287.15,87,90,9.3
Alyangula,-13.85,303.15,79,49,4.6
Punta Arenas,-53.16,285.15,66,90,5.7
Ribeira Grande,38.52,289.19,93,100,11.62
Chuy,-33.69,294.76,90,91,4.06
Rikitea,-23.12,297.68,85,100,5.43
Puerto Ayora,-0.74,301.15,61,20,6.2
Cabo San Lucas,22.89,297.04,68,5,7.7
Padang,-0.92,293.95,93,71,1.97
Alice Springs,-23.7,307.15,14,34,4.6
Leningradskiy,69.38,250.22,94,94,6.04
Kahului,20.89,303.15,74,40,9.8
Durban,51.93,262.95,85,0,6.15
Maragogi,-9.01,299.66,76,1,6.87
Khatanga,71.98,242.55,95,100,1.62
Hilo,19.71,301.15,69,90,4.6
Vaini,15.34,293.4,83,65,1.44
Tasiilaq,65.61,265.15,61,44,2.6
Port Blair,11.67,298.8,70,33,3.29
Taga,-8.61,297.76,74,100,0.37
Busselton,-33.64,296.48,47,48,0.39
Bredasdorp,-34.53,287.59,76,24,3.6
Tual,-5.67,302.66,76,53,4.66
Ilulissat,69.22,259.15,38,0,2.6
Cherskiy,68.75,237.2,90,0,2.82
Butaritari,3.07,302.23,79,54,6.02
Humaita,-24.93,300.15,65,40,1.5
Kuryk,43.18,279.44,83,53,6.75
Den Helder,52.96,279.26,87,90,5.7
Yellowknife,62.45,261.48,84,75,4.6
Mataura,-46.19,285.93,90,100,4.92
Port Hardy,50.7,277.15,93,90,2.1
Scarborough,54.28,280.93,100,100,2.1
Jamestown,-33.21,307.54,13,58,7.28
Verrettes,19.05,300.15,83,40,2.6
Albany,42.65,276.48,59,90,3.54
Crixas,-14.55,297.95,75,98,0.71
Codrington,-28.95,300.15,50,75,4.1
Poronaysk,49.22,256.36,71,32,2.64
Tessalit,20.2,289.23,17,67,4.92
Beyneu,45.32,276.5,97,100,4.85
Ajdabiya,30.75,288.8,73,23,3.72
Simao,22.76,284.96,82,63,0.66
Yar-Sale,66.83,247.5,96,95,4.85
Mozarlandia,-14.74,299.06,78,82,1.84
Tala,20.65,298.71,25,40,5.1
Mar del Plata,-46.43,295.89,29,83,12.19
Semnan,35.58,277.6,55,0,1.17
Kapaa,22.08,300.15,74,90,3.6
Mercedes,-33.25,295.93,88,30,0.89
Taoudenni,22.68,291.91,15,0,3.98
Cowra,-33.84,306.26,18,0,5.36
Omihachiman,35.15,283.15,70,76,2.24
Port Alfred,-33.59,290.37,76,100,4.92
Thompson,55.74,264.15,92,90,1.5
Pevek,69.7,247.11,99,100,3.21
Fairbanks,64.84,247.59,82,90,0.77
Linjiang,41.81,255.27,97,42,1.27
Niquero,20.04,294.1,79,76,2.08
Vila Franca do Campo,37.72,291.15,88,20,8.7
Hithadhoo,-0.6,300.94,79,97,3.55
Ushuaia,-54.81,288.15,51,75,4.6
Flinders,-34.58,301.48,50,0,2.1
Guerrero Negro,27.97,290.52,56,6,8.28
Hambantota,6.12,298,79,82,7.91
Barrow,-38.31,294.69,49,47,7.86
Esperance,-33.86,293.15,77,40,6.2
Hasaki,35.73,281.15,100,75,3.6
Chokurdakh,70.62,244.65,98,84,1.02
Castro,-42.48,287.15,87,90,9.3
Twin Falls,42.57,273.15,92,90,3.1
Bukachacha,52.99,244.68,98,98,0.58
Qaanaaq,77.48,253.11,74,47,3.33
Souillac,45.6,282.15,93,90,2.6
Cardston,49.2,274.26,62,1,9.8
Iracoubo,5.48,300.02,84,100,8.54
Elko,40.83,275.15,51,1,3.1
Avarua,-21.21,298.15,69,2,5.7
Sugod,12.99,299.07,88,41,3
Quesnel,52.98,271.15,74,90,4.1
Central Point,42.38,280.37,65,1,2.1
New Norfolk,-42.78,291.48,55,20,5.1
Peleduy,59.63,252.19,99,100,0.95
Porto Novo,-23.68,296.15,73,40,5.1
Okhotsk,59.36,248.16,64,10,10.11
Portland,43.66,269.82,57,1,1.57
Severobaykalsk,55.65,260.04,95,100,5.09
Surt,31.21,286.87,86,0,3.07
Cidreira,-30.17,296.71,89,83,9.71
Margate,-43.03,291.48,55,20,5.1
